w,freq,cat,lang,tr,alt
जुद्ध,2154,NE,ne,juddha,
बासस्थान,2154,NE,ne,basasthan,
विषयहरू,2154,NE,ne,vishayaharu,
क्वयेर,2153,NE,ne,kwayera,
क्षमताको,2153,NE,ne,kshamatako,
फोर्ब्स,2153,NE,ne,forbs,
भिटामिन,2153,NE,ne,bhitamin,vitamin
अद्यावधिक,2152,NE,ne,adyawadhik,
आम्बेडकर,2152,NE,ne,ambedker,
कृषिमा,2152,NE,ne,krishima,
च्यालेन्जर्स,2152,NE,ne,challengers,
वर्षहरूमा,2152,NE,ne,warshaharuma,
समितिले,2152,NE,ne,samitile,
अधिराजकुमारी,2150,NE,ne,adhirajkumari,
चिली,2150,NE,ne,chilly,
जितेकी,2150,NE,ne,jiteki,
डिसी,2150,NE,ne,disey,
त्यसका,2150,NE,ne,tyaska,
निर्माणमा,2150,NE,ne,nirmanma,
रामचरितमानस,2150,NE,ne,ramcharitmanas,
इटालेली,2149,NE,ne,italeli,
जिल्लाहरूमा,2149,NE,ne,jillaharuma,
त्यहाँबाट,2149,NE,ne,tyahanbata,
पुगे,2149,NE,ne,puge,
भनाई,2149,NE,ne,bhanai,
यसपछि,2149,NE,ne,yasapachhi,
युद्धहरू,2149,NE,ne,yuddhaharu,
युरोपमा,2149,NE,ne,europema,
राजदूत,2149,NE,ne,rajdut,
वर्गमा,2149,NE,ne,wargama,
जिम्बाब्वे,2148,NE,ne,zimbabwe,
तपाईले,2148,NE,ne,tapaile,
लिगका,2146,NE,ne,ligka,
वर्गीकृत,2146,NE,ne,wargikrit,
सुनिल,2146,NE,ne,suniel,
घनत्व,2145,NE,ne,ghanatwa,
परेकी,2145,NE,ne,pareki,
मनाइन्छ,2145,NE,ne,manainchha,
स्रोतको,2145,NE,ne,srotko,
नामग्याल,2144,NE,ne,namgyal,namgyel
समयका,2144,NE,ne,samayaka,
काठमाडौ,2142,NE,ne,kathmadau,
खण्डहरू,2142,NE,ne,khandaharu,
पुग्यो,2142,NE,ne,pugyo,
सिक्किमका,2142,NE,ne,sikkimka,
हदसम्म,2142,NE,ne,hadasamma,
तेश्रो,2141,NE,ne,teshro,
प्रदर्शनी,2141,NE,ne,pradarshani,
प्रयोगकर्ताले,2141,NE,ne,prayogkartale,
फूलहरू,2141,NE,ne,fulaharu,fulharu
मिल्दोजुल्दो,2141,NE,ne,mildojuldo,
युक्रेनी,2141,NE,ne,yukreni,
अदालतले,2140,NE,ne,adalatle,
अभियानमा,2140,NE,ne,abhiyanma,
दुवैको,2140,NE,ne,duwaiko,
भूभागमा,2140,NE,ne,bhubhagma,
सदस्यहरूले,2140,NE,ne,sadasyaharule,
सम्झौतामा,2140,NE,ne,samjhautama,
खुर्सानी,2138,NE,ne,khursani,
टेलिकम,2138,NE,ne,telecom,
महानगरीय,2138,NE,ne,mahanagariya,
स्वशिक्षा,2138,NE,ne,swashiksha,
गाउँको,2137,NE,ne,gaaunko,
नियमहरू,2137,NE,ne,niyamharu,
परिक्रमा,2137,NE,ne,parikrama,
भ्लादिमिर,2137,NE,ne,bhladimir,
लगत्तै,2137,NE,ne,lagattai,
गर्नमा,2136,NE,ne,garnama,
चलचित्रले,2136,NE,ne,chalchitrale,
लोकतन्त्र,2136,NE,ne,loktantra,
गर्दैन,2134,NE,ne,gardaina,
दलले,2134,NE,ne,dalle,
फिजी,2134,NE,ne,fizi,
भनें,2134,NE,ne,bhanen,
भरिएको,2134,NE,ne,bharieko,
भुटानका,2134,NE,ne,bhutanka,
मन्त्रालयको,2134,NE,ne,mantralayako,
सीमामा,2134,NE,ne,simama,
गजल,2133,NE,ne,gajal,
जनजातिहरू,2133,NE,ne,janajatiharu,
जिल्लालाई,2133,NE,ne,jillalai,
ज्वरो,2133,NE,ne,jwaro,
थाल्यो,2133,NE,ne,thalyo,
निर्देशकहरू,2133,NE,ne,nirdeshakharu,
पारेका,2133,NE,ne,pareka,
मिसाएर,2133,NE,ne,misaera,
सहभागीहरू,2133,NE,ne,sahabhagiharu,
सुनौलो,2133,NE,ne,sunaulo,
चलाउन,2132,NE,ne,chalauna,
प्रचलनमा,2132,NE,ne,prachalanma,
बलर,2132,NE,ne,balar,baller
बाक्लो,2132,NE,ne,baklo,
महिलाहरूले,2132,NE,ne,mahilaharule,
सिग्देल,2132,NE,ne,sigdel,
अमरसिंह,2130,NE,ne,amarsinha,amarsinh
उनीसँग,2130,NE,ne,unisanga,
गृहयुद्ध,2130,NE,ne,grihayudha,
थापाको,2130,NE,ne,thapako,
पृष्ठलाई,2130,NE,ne,prishthalai,
विद्यादेवी,2130,NE,ne,vidyadevi,
चलिरहेको,2129,NE,ne,chaliraheko,
उपन्यासहरू,2127,NE,ne,upanyasharu,
कसैलाई,2127,NE,ne,kasailai,
घटनाको,2127,NE,ne,ghatanako,
बलुचिस्तान,2127,NE,ne,baluchistan,
मल्लले,2127,NE,ne,mallale,
लाङटाङ,2127,NE,ne,langtang,
वासिङ्टन,2127,NE,ne,wassington,
वेबसाइटमा,2127,NE,ne,websitema,
सधैं,2127,NE,ne,sadhain,
सिंहले,2127,NE,ne,sinhale,
आँखाको,2126,NE,ne,aankhaako,ankhako
खलङ्गा,2126,NE,ne,khalanga,
चुरे,2126,NE,ne,chure,
तपाईंलाई,2126,NE,ne,tapainlai,
पठाउने,2126,NE,ne,pathaune,
पालामा,2126,NE,ne,palama,
राजपत्र,2126,NE,ne,rajpatra,
असमर्थन,2125,NE,ne,asamarthan,
आत्मसमर्पण,2125,NE,ne,atmasamarpan,
कुरालाई,2125,NE,ne,kuralai,
गोप्य,2125,NE,ne,gopya,
घरहरू,2125,NE,ne,gharharu,
ज्ञानको,2125,NE,ne,gyanko,
परिमार्जन,2125,NE,ne,parimarjan,
लक्षणहरू,2125,NE,ne,lakshanharu,
विवादित,2125,NE,ne,vivadit,
खेलहरूमा,2123,NE,ne,khelharuma,
प्रवेशद्वार,2123,NE,ne,praweshdwar,
समितिका,2123,NE,ne,samitika,
सुनकोशी,2123,NE,ne,sunkoshi,
ऋणमा,2122,NE,ne,rinama,
दोहोरो,2122,NE,ne,dohoro,
बुबाको,2122,NE,ne,bubako,
वस्तुको,2122,NE,ne,wastuko,
अस्ट्रेलियाली,2121,NE,ne,astreliali,
परशुराम,2121,NE,ne,parashuram,parasuram
सङ्क्रमण,2121,NE,ne,sankraman,
सार्लेट,2121,NE,ne,sarlett,
आइओएस,2119,NE,ne,ios,
कालीगण्डकी,2119,NE,ne,kaligandaki,
घरपालुवा,2119,NE,ne,gharapaluwa,
दिन्छन्,2119,NE,ne,dinchhan,
महाभारतका,2119,NE,ne,mahabharatka,
मानिसले,2119,NE,ne,manisle,
रहेकी,2119,NE,ne,raheki,
शेरचन,2119,NE,ne,sherchan,
सम्मेलनमा,2119,NE,ne,sammelanma,
पक्षको,2118,NE,ne,pakshako,
यसो,2118,NE,ne,yaso,
सुधारको,2118,NE,ne,sudharko,
कविताको,2116,NE,ne,kawitako,
नभए,2116,NE,ne,nabhae,
पश्चिमबाट,2116,NE,ne,paschimbata,
पारेर,2116,NE,ne,parera,
युद्धका,2116,NE,ne,yuddhaka,
राष्ट्रमण्डल,2116,NE,ne,rashtramandal,
वंशज,2116,NE,ne,wanshaj,
तिनलाई,2115,NE,ne,tinlai,
फुटसल,2115,NE,ne,footsal,
लाग्यो,2115,NE,ne,lagyo,
गोरखपुर,2113,NE,ne,gorakhpur,
चराको,2113,NE,ne,charako,
त्यसले,2113,NE,ne,tyasale,
लुकाइएका,2113,NE,ne,lukaieka,
कार्यलाई,2112,NE,ne,karyalai,
कैद,2112,NE,ne,kaid,
जानकारीको,2112,NE,ne,jankariko,
संसारका,2112,NE,ne,sansarka,
आइरहेको,2111,NE,ne,airaheko,
आरक्ष,2111,NE,ne,araksha,
जिल्लाकै,2111,NE,ne,jillakai,
फराकिलो,2111,NE,ne,farakilo,
मुम्बईका,2111,NE,ne,mumbaika,
राउत,2111,NE,ne,raut,
संबिधान,2111,NE,ne,sambidhan,
गर्छिन्,2109,NE,ne,garchhin,
गायिकाहरू,2109,NE,ne,gayikaharu,
जवाफ,2109,NE,ne,jawaf,
पातलो,2109,NE,ne,patalo,
सङ्क्षिप्त,2109,NE,ne,sankshipta,
फलफूल,2108,NE,ne,falful,
सङ्गठनको,2108,NE,ne,sangathanko,
महिलाले,2106,NE,ne,mahilale,
वेबसाइटहरू,2106,NE,ne,websiteharu,
सिड्नी,2106,NE,ne,sydnee,
उद्देश्यका,2105,NE,ne,uddeshyaka,
एडम,2105,NE,ne,adom,
गर्नुका,2105,NE,ne,garnuka,
तुरुन्तै,2105,NE,ne,turuntai,
पोल्यान्ड,2105,NE,ne,polyand,
बाटोमा,2105,NE,ne,batoma,
राखिएका,2105,NE,ne,rakhieka,
रामको,2105,NE,ne,ramko,
सुरक्षाको,2105,NE,ne,surakshako,
गर्नुहोला,2103,NE,ne,garnuhola,
परिषद्को,2103,NE,ne,parishadko,
माघे,2103,NE,ne,maghe,
मापदण्डका,2103,NE,ne,mapdandaka,
समस्याहरू,2103,NE,ne,samasyaharu,
सुरुवातमा,2103,NE,ne,suruwatma,
हालेर,2103,NE,ne,halera,
कान्छी,2102,NE,ne,kanchhi,
कार्यवाहक,2102,NE,ne,karyawahak,
पूर्वीय,2102,NE,ne,purwiya,purviya
प्रयोगकर्ताहरूको,2102,NE,ne,prayogkartaharuko,
मकालु,2100,NE,ne,makalu,
विश्वकै,2100,NE,ne,wishwakai,
गाउने,2099,NE,ne,gaune,
चित्रहरू,2099,NE,ne,chitraharu,
ज्ञवाली,2099,NE,ne,gywali,gyawali;gyawaly
तलको,2099,NE,ne,talako,
प्रकारहरू,2099,NE,ne,prakarharu,
मिश्रण,2099,NE,ne,mishran,
राज्यलाई,2099,NE,ne,rajyalai,
छोराको,2097,NE,ne,chhorako,
बेइजिङ,2097,NE,ne,beijing,
हजारौं,2097,NE,ne,hajaraun,
ईसाई,2096,NE,ne,isai,
खासगरी,2096,NE,ne,khasgari,
गजुरेल,2096,NE,ne,gajurel,
देउराली,2096,NE,ne,deurali,
अनुहार,2094,NE,ne,anuhar,
जनमुक्ति,2094,NE,ne,janamukti,
मिटरको,2094,NE,ne,mitarko,
रंगको,2094,NE,ne,rangako,
वंशावली,2094,NE,ne,wanshawali,
अध्यक्षको,2093,NE,ne,adhyakshako,
खप्तड,2093,NE,ne,khaptad,
चुम्बकीय,2093,NE,ne,chumbakiya,
जोडिएका,2093,NE,ne,jodieka,
परिसरमा,2093,NE,ne,parisarma,
पाँचौं,2093,NE,ne,panchaun,
प्रमुखको,2093,NE,ne,pramukhko,
बोगटी,2093,NE,ne,bogati,
सिद्धार्थ,2093,NE,ne,siddartha,
अनलाईन,2091,NE,ne,unline,
खानको,2091,NE,ne,khanko,
गीतले,2091,NE,ne,gitle,
तपाईँले,2091,NE,ne,tapainle,
दन्तकाली,2091,NE,ne,dantakali,
पदार्थको,2091,NE,ne,padarthako,
परिवर्तनहरू,2091,NE,ne,pariwartanharu,
राज्यहरूको,2091,NE,ne,rajyaharuko,
सम्हालेका,2091,NE,ne,samhaleka,
उनीले,2090,NE,ne,unile,
एपीएफ,2090,NE,ne,apf,
कार्यकालको,2090,NE,ne,karyakalko,
टुक्रा,2090,NE,ne,tukra,
दबाब,2090,NE,ne,dabab,
प्रयोगस्थल,2090,NE,ne,prayogsthal,
मारिएका,2090,NE,ne,marieka,
लेखिने,2090,NE,ne,lekhine,
हातले,2090,NE,ne,hatle,
अदालतमा,2088,NE,ne,adalatma,
इन्डियन्स,2088,NE,ne,indiance,
जमिनमा,2088,NE,ne,jaminma,
मौसममा,2088,NE,ne,mausamma,
विश्वकपको,2088,NE,ne,wishwakapko,
आर्ट,2087,NE,ne,art,
देखाउने,2087,NE,ne,dekhaune,
भएता,2087,NE,ne,bhaeta,
मधेस,2087,NE,ne,madhes,
मातृ,2087,NE,ne,matri,
यिनै,2087,NE,ne,yinai,
वामपन्थी,2087,NE,ne,bampanthi,
गर्भवती,2085,NE,ne,garbhawati,
चलाउने,2085,NE,ne,chalaune,
यात्राको,2085,NE,ne,yatrako,
ल्याइएको,2085,NE,ne,lyaieko,
शब्दलाई,2085,NE,ne,shabdalai,
अफिस,2084,NE,ne,offices,
आकारमा,2084,NE,ne,akarma,
आवासीय,2084,NE,ne,awasiya,
उपत्यकाका,2084,NE,ne,upatyakaka,
थालिएको,2084,NE,ne,thalieko,
पशुपतिनाथ,2084,NE,ne,pashupatinath,
पहिरो,2084,NE,ne,pahiro,
बाजाहरू,2084,NE,ne,bajaharu,
रजत,2084,NE,ne,rajat,
अवधिको,2082,NE,ne,awadhiko,
आयुर्वेद,2082,NE,ne,ayurved,
तहमा,2082,NE,ne,tahama,
तोरी,2082,NE,ne,tori,
दूरीमा,2082,NE,ne,durima,
माझी,2082,NE,ne,majhi,
लेखकहरू,2082,NE,ne,lekhakharu,
विद्यार्थीहरू,2082,NE,ne,vidyarthiharu,
शब्दमा,2082,NE,ne,shabdama,
शिलालेख,2082,NE,ne,shilalekh,
सुगा,2082,NE,ne,suga,
डेब्यु,2080,NE,ne,debue,
देखाएको,2080,NE,ne,dekhaeko,
राजभण्डारी,2080,NE,ne,rajbhandari,
लेखहरूमा,2080,NE,ne,lekhharuma,
वासस्थान,2080,NE,ne,wasasthan,
व्यक्तिहरूलाई,2080,NE,ne,wyaktiharulai,
संस्थाले,2080,NE,ne,sansthale,
ह्यारी,2080,NE,ne,harry,
आएपछि,2079,NE,ne,aepachhi,
केपी,2079,NE,ne,kepi,
गुणहरू,2079,NE,ne,gunharu,
ढिलो,2079,NE,ne,dhilo,
ढुङ्गा,2079,NE,ne,dhunga,
वर्तमानमा,2079,NE,ne,wartamanma,
क्यारिबियन,2077,NE,ne,carribean,
गरिन,2077,NE,ne,garina,
दिशानिर्देशहरू,2077,NE,ne,dishanirdeshharu,
नारायणहिटी,2077,NE,ne,narayanhiti,
निर्वाचनको,2077,NE,ne,nirvachanko,
पपुवा,2077,NE,ne,papuwa,
बुद्धको,2077,NE,ne,buddhako,
भेनेजुएला,2077,NE,ne,bhenejuela,
मतहरू,2077,NE,ne,mataharu,
संस्कृतिमा,2077,NE,ne,sanskritima,
ओलम्पिकमा,2076,NE,ne,olampikma,
बजारको,2076,NE,ne,bajarko,
लाइभ,2076,NE,ne,laibh,
हुनुभन्दा,2076,NE,ne,hunubhanda,
ज्यादै,2074,NE,ne,jyadai,
दीर्घकालीन,2074,NE,ne,dirghakalin,
प्रयोगकर्तालाई,2074,NE,ne,prayogkartalai,
बसाइँ,2074,NE,ne,basaain,basain
वहाँ,2074,NE,ne,wahaan,
खेलका,2072,NE,ne,khelka,
पाँचौ,2072,NE,ne,panchau,
पोर्टलहरू,2072,NE,ne,portalharu,
रातोपाटी,2072,NE,ne,ratopati,
शीर्षकको,2072,NE,ne,shirshakako,shirshakko
साँस्कृतिक,2072,NE,ne,saanskritik,
उदाहरणको,2071,NE,ne,udaharanko,
एकात्मक,2071,NE,ne,ekatmak,
चलचित्रलाई,2071,NE,ne,chalchitralai,
बनाउँछ,2071,NE,ne,banaunchha,
यातायातमा,2071,NE,ne,yatayatma,
सम्झना,2071,NE,ne,samjhana,
अभियानको,2069,NE,ne,abhiyanko,
छत्तीसगढ,2069,NE,ne,chhattisgarh,chattisgarh
प्रमुखहरू,2069,NE,ne,pramukhharu,
राजविराज,2069,NE,ne,rajviraj,
लेखनाथ,2069,NE,ne,lekhnath,
विदेशमा,2069,NE,ne,videshma,
अत्याधिक,2068,NE,ne,atyadhik,
कुखुरा,2068,NE,ne,kukhura,
चार्टमा,2068,NE,ne,chartma,
जनकपुरधाम,2068,NE,ne,janakapurdham,
ठाउँको,2068,NE,ne,thaaunko,
पानीका,2068,NE,ne,panika,
प्रतिद्वन्द्वी,2068,NE,ne,pratidwandwi,
लिच्छवि,2068,NE,ne,lichchawi,
विभागका,2068,NE,ne,vibhagka,
विषयलाई,2068,NE,ne,vishayalai,
सूर्यबहादुर,2068,NE,ne,suryabahadur,
उद्यमी,2066,NE,ne,udyami,
एकजना,2066,NE,ne,ekjana,
टोलीलाई,2066,NE,ne,tolilai,
तपाईँलाई,2066,NE,ne,tapainlai,
थिएँ,2066,NE,ne,thien,
धवलागिरी,2066,NE,ne,dhawalagiri,
भञ्ज्याङ,2066,NE,ne,bhanjyang,
वीरेन्द्रनगर,2066,NE,ne,virendranagar,
शहरहरूको,2066,NE,ne,shaharharuko,
अभिनित,2064,NE,ne,abhinit,
क्षेत्रफलको,2064,NE,ne,kshetrafalko,
जापानका,2064,NE,ne,japanka,
जोडेर,2064,NE,ne,jodera,
त्यहाँका,2064,NE,ne,tyahanka,
मल्लको,2064,NE,ne,mallako,
शैलीको,2064,NE,ne,shailiko,
संविधानसभा,2064,NE,ne,sanwidhansabha,
अंतर्राष्ट्रीय,2063,NE,ne,antarrashtriya,
कूटनीतिक,2063,NE,ne,kutnitik,
चाहिँ,2063,NE,ne,chahin,
जडीबुटी,2063,NE,ne,jadibuti,
नीतिहरू,2063,NE,ne,nitiharu,
प्रशासित,2063,NE,ne,prashasit,
ब्रह्मपुत्र,2063,NE,ne,brahmaputra,
भागलाई,2063,NE,ne,bhaglai,
राष्ट्रियकरण,2063,NE,ne,rashtriyakaran,
रिपब्लिक,2063,NE,ne,ripablik,
वायुसेवा,2063,NE,ne,wayusewa,
सकेन,2063,NE,ne,sakena,
कर्मचारीहरू,2061,NE,ne,karmachariharu,
किलोग्राम,2061,NE,ne,kilogramme,
भरपर्दो,2061,NE,ne,bharapardo,
विभागहरू,2061,NE,ne,vibhagharu,
गोलकर्ता,2059,NE,ne,golkarta,
जनतालाई,2059,NE,ne,janatalai,
पोथ्रा,2059,NE,ne,pothra,
बृहत्,2059,NE,ne,brihat,
महिलाहरूलाई,2059,NE,ne,mahilaharulai,
विवरणहरू,2059,NE,ne,wiwaranharu,
श्रीलङ्काली,2059,NE,ne,srilankali,
सुनको,2059,NE,ne,sunko,
उल्लेखनीयता,2058,NE,ne,ullekhaniyata,
उहाँलाई,2058,NE,ne,uhaanlai,
कुमाउँ,2058,NE,ne,kumaun,
ध्यानमा,2058,NE,ne,dhyanma,
नेताहरू,2058,NE,ne,netaharu,
परिवर्तनको,2058,NE,ne,pariwartanko,
प्रधानमन्त्रीहरूको,2058,NE,ne,pradhanmantriharuko,
बसन्त,2058,NE,ne,basanta,
मार्चमा,2058,NE,ne,marchma,
मौजा,2058,NE,ne,maujha,mauja
वाणिज्यमा,2058,NE,ne,wanijyama,
सूचीहरू,2058,NE,ne,suchiharu,
आमाले,2056,NE,ne,amale,
धर्मग्रन्थ,2056,NE,ne,dharmagrantha,
पछाडी,2056,NE,ne,pachhadi,
पारिएको,2056,NE,ne,parieko,
फिस्टो,2056,NE,ne,fisto,
मृत्युदण्ड,2056,NE,ne,mrityudanda,mrityudand
राम्रा,2056,NE,ne,ramra,
उपाधिहरू,2054,NE,ne,upadhiharu,
जनताले,2054,NE,ne,janatale,
तपाईको,2054,NE,ne,tapaiko,
बढावा,2054,NE,ne,badhawa,
बर्बरता,2054,NE,ne,barbarta,
रारा,2054,NE,ne,rara,
सम्मानमा,2054,NE,ne,sammanma,
साउद,2054,NE,ne,saud,
चिहान,2053,NE,ne,chihan,
जनसङ्ख्याले,2053,NE,ne,janasangkhyale,
त्यसरी,2053,NE,ne,tyasari,
दलहरूको,2053,NE,ne,dalharuko,
बनाइने,2053,NE,ne,banaine,
युरोपको,2053,NE,ne,yuropko,
रूपहरू,2053,NE,ne,rupharu,
संस्थागत,2053,NE,ne,sansthagat,
सिमानामा,2053,NE,ne,simanama,
स्विफ्टले,2053,NE,ne,swiftle,
उरुग्वे,2051,NE,ne,urugwe,
थिएनन्,2051,NE,ne,thienan,
प्यार,2051,NE,ne,pyar,
वसन्तपुर,2051,NE,ne,wasantapur,
सन्दीप,2051,NE,ne,sundeep,
हाँस,2051,NE,ne,hansa,haansa
गराइएको,2049,NE,ne,garaieko,
पुगेर,2049,NE,ne,pugera,
प्रतिपक्ष,2049,NE,ne,pratipaksha,
बाह्यलिङ्कहरू,2049,NE,ne,bahyalinkharu,
बिजनेस,2049,NE,ne,businesses,
ब्याट्सम्यान,2049,NE,ne,batsmen,
मात्रमा,2049,NE,ne,matrama,
ऋतुमा,2048,NE,ne,rituma,
एल्बमको,2048,NE,ne,albumko,
कविताहरू,2048,NE,ne,kawitaharu,
फूलको,2048,NE,ne,fulako,
भोलिपल्ट,2048,NE,ne,bholipalta,
मार्शल,2048,NE,ne,marshel,
मृत्युपछि,2048,NE,ne,mrityupachhi,
औपनिवेशिक,2046,NE,ne,aupaniweshik,
प्रेमप्रसङ्गयुक्त,2046,NE,ne,premprasangayukta,
लियोनेल,2046,NE,ne,lionel,
श्रोतको,2046,NE,ne,shrotko,
संस्करणहरू,2046,NE,ne,sanskaranharu,
सम्झनामा,2046,NE,ne,samjhanama,
सौतेनी,2046,NE,ne,sauteni,
स्थापनाको,2046,NE,ne,sthapanako,
हजारौँ,2046,NE,ne,hajaraun,
एक्सबिज,2044,NE,ne,exbiz,
एसी,2044,NE,ne,ac,
कलेजमा,2044,NE,ne,kalejma,
कसैको,2044,NE,ne,kasaiko,
दुध,2044,NE,ne,dudha,
पत्रिकाको,2044,NE,ne,patrikako,
मरुभूमि,2044,NE,ne,marubhumi,
योगदानको,2044,NE,ne,yogdanko,
लुगा,2044,NE,ne,luga,
सिंहदरबार,2044,NE,ne,sinhadarbar,
इजाजतपत्र,2043,NE,ne,ijajatpatra,
उपप्रधानमन्त्री,2043,NE,ne,upapradhanmantri,
औषधीय,2043,NE,ne,aushadhiya,
कार्यालयहरू,2043,NE,ne,karyalayaharu,
कृष्णलाई,2043,NE,ne,krishnalai,
जर्मनीमा,2043,NE,ne,germanyma,
जुनसुकै,2043,NE,ne,junasukai,
त्यसो,2043,NE,ne,tyaso,
नगरेको,2043,NE,ne,nagareko,
पहाडको,2043,NE,ne,pahadko,
यिनीहरूको,2043,NE,ne,yiniharuko,
राजधानीहरू,2043,NE,ne,rajdhaniharu,
शनिबार,2043,NE,ne,shanibar,
सक्दैन,2043,NE,ne,sakdaina,
सरकारद्वारा,2043,NE,ne,sarkardwara,
खोलाको,2041,NE,ne,kholako,
गर्नुभयो,2041,NE,ne,garnubhayo,
ठेगाना,2041,NE,ne,thegana,
दिगो,2041,NE,ne,digo,
दीपेन्द्र,2041,NE,ne,dipendra,deepender;deependra
नगरिएको,2041,NE,ne,nagarieko,
निजामती,2041,NE,ne,nijamati,
मानिसलाई,2041,NE,ne,manislai,
युरोपका,2041,NE,ne,yuropka,
रोजेको,2041,NE,ne,rojeko,
ओएफसी,2039,NE,ne,ofc,
कार्यकालमा,2039,NE,ne,karyakalma,
क्रमश,2039,NE,ne,kramash,
दिनहरूमा,2039,NE,ne,dinharuma,
सुविधाहरू,2039,NE,ne,suwidhaharu,
गाईको,2037,NE,ne,gaiko,
जनाउने,2037,NE,ne,janaune,
तिब्बतको,2037,NE,ne,tibbatko,
त्यसकारण,2037,NE,ne,tyasakaran,
दुग्ध,2037,NE,ne,dugdha,
देवताहरूको,2037,NE,ne,dewataharuko,
नियन्त्रित,2037,NE,ne,niyantrit,
पहिलेको,2037,NE,ne,pahileko,
बनेपा,2037,NE,ne,banepa,
भन्नु,2037,NE,ne,bhannu,
भित्रको,2037,NE,ne,bhitrako,
लोहनी,2037,NE,ne,lohni,
शास्त्रमा,2037,NE,ne,shastrama,shaastrama
एकको,2036,NE,ne,ekko,
दिनलाई,2036,NE,ne,dinlai,
राख्दै,2036,NE,ne,rakhdai,
अर्थशास्त्रमा,2034,NE,ne,arthashastrama,
ग्रन्थहरू,2034,NE,ne,granthaharu,
छिरिङ,2034,NE,ne,chhiring,
ढङ्गले,2034,NE,ne,dhangale,
पञ्चमी,2034,NE,ne,panchami,
पिपुल्स,2034,NE,ne,pipuls,
बरफ,2034,NE,ne,baraf,
बाकस,2034,NE,ne,bakas,
भुसाल,2034,NE,ne,bhusal,
लेखहरूलाई,2034,NE,ne,lekhharulai,
ओभल,2032,NE,ne,obhal,
गोलहरू,2032,NE,ne,golharu,
भारतबाट,2032,NE,ne,bharatbata,
यिनलाई,2032,NE,ne,yinalai,yinlai
रहँदै,2032,NE,ne,rahandai,
संस्कृतमा,2032,NE,ne,sanskritma,
सारिएको,2032,NE,ne,sarieko,
कार्यालयमा,2030,NE,ne,karyalayama,
खतिवडा,2030,NE,ne,khatiwada,
देशान्तरणमा,2030,NE,ne,deshantaranma,
निम्नानुसार,2030,NE,ne,nimnanusar,
निर्माताहरू,2030,NE,ne,nirmataharu,
रिमाल,2030,NE,ne,rimal,
अस्पतालहरू,2028,NE,ne,aspatalharu,
ट्रम्प,2028,NE,ne,trump,
थाह,2028,NE,ne,thaha,
परियोजनाहरू,2028,NE,ne,pariyojanaharu,
बचाउन,2028,NE,ne,bachauna,
मध्यवर्ती,2028,NE,ne,madhyawarti,
मनमा,2028,NE,ne,manma,
वर्षदेखि,2028,NE,ne,warshadekhi,
सहरहरूको,2028,NE,ne,saharharuko,
अस्पष्टता,2027,NE,ne,aspashtata,
गरिए,2027,NE,ne,garie,
दुरीमा,2027,NE,ne,durima,
पाएपछि,2027,NE,ne,paepachi,
बनेर,2027,NE,ne,banera,
बलको,2027,NE,ne,balko,
बैठकमा,2027,NE,ne,baithakma,
रोगहरू,2027,NE,ne,rogharu,
व्यवस्थाको,2027,NE,ne,wyawasthako,
शाहका,2027,NE,ne,shahaka,
गराई,2025,NE,ne,garai,
गुम्बा,2025,NE,ne,gumba,
देखिन्छन्,2025,NE,ne,dekhinchhan,
पुग्छ,2025,NE,ne,pugchha,
भवनको,2025,NE,ne,bhawanko,
यातायातका,2025,NE,ne,yatayatka,
हिमनदी,2025,NE,ne,himnadi,
कथासङ्ग्रह,2023,NE,ne,kathasangraha,
गरिसकेको,2023,NE,ne,garisakeko,
छोरीको,2023,NE,ne,chhoriko,
जान्छन्,2023,NE,ne,janchhan,
दशैं,2023,NE,ne,dashain,
निस्कने,2023,NE,ne,niskane,
नोटहरू,2023,NE,ne,noteharu,
पहिरन,2023,NE,ne,pahiran,
वनमा,2023,NE,ne,banma,vanma
सिधै,2023,NE,ne,sidhai,
इटहरी,2021,NE,ne,ithari,
गाउँका,2021,NE,ne,gaunka,
तस्बिरहरू,2021,NE,ne,tasbirharu,
प्रकारले,2021,NE,ne,prakarle,
बढ्ने,2021,NE,ne,badhne,
बहुराष्ट्रिय,2021,NE,ne,bahurashtriya,
बास्कोटा,2021,NE,ne,baskota,
बिरुद्ध,2021,NE,ne,biruddha,
बेलायतको,2021,NE,ne,belayatko,
संक्रमण,2021,NE,ne,sankraman,
हत्याको,2021,NE,ne,hatyako,
उचाईमा,2019,NE,ne,uchaima,
उपन्यासमा,2019,NE,ne,upanyasma,
किलोमिटरको,2019,NE,ne,kilometerko,
गणतन्त्रको,2019,NE,ne,ganatantrako,
घले,2019,NE,ne,ghale,
पूर्वको,2019,NE,ne,purwako,
सुरूवात,2019,NE,ne,suruwat,
अफ्रिकामा,2017,NE,ne,africama,
अहिलेको,2017,NE,ne,ahileko,
आर्सनल,2017,NE,ne,arsonal,
उत्पादनहरू,2017,NE,ne,utpadanharu,
किरा,2017,NE,ne,kira,
क्यापिटल्स,2017,NE,ne,capitals,
घरहरूमा,2017,NE,ne,gharharuma,
चाहिने,2017,NE,ne,chahine,
नाता,2017,NE,ne,nata,
नेपालकै,2017,NE,ne,nepalkai,
फर्किएका,2017,NE,ne,farkieka,
बृहत,2017,NE,ne,brihat,
महाभूकम्प,2017,NE,ne,mahabhukampa,
महिलालाई,2017,NE,ne,mahilalai,
सेवाहरूको,2017,NE,ne,sewaharuko,
अफ्रिकाको,2016,NE,ne,africako,
